novel,cohort,source_batch,graph_builder,graph_path,sha256,bytes,mtime_ns,nodes,edges,valid_edges,dangling_edges,self_loops,isolates_recomputed,isolate_rate_recomputed,edge_node_ratio
26,old20,legacy20_a,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c\novels\26\graph.json,c3726c44d96656c0c5bcb94d5550a4b7c0307d73b76c8ac409576c46d953d484,233203,1786173710069732200,427,324,324,0,0,215,0.5035128805620609,0.7587822014051522
27,old20,legacy20_a,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c\novels\27\graph.json,8a1129d3cda2734ee26380d03511d881d203806643a182a2d03f9727ee24318c,229837,1786176038996478800,394,361,361,0,0,159,0.4035532994923858,0.916243654822335
28,old20,legacy20_a,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c\novels\28\graph.json,b9bdcddac0ed4920282bb10921bb3a387b7ab369447199d37fc1db7898334620,265561,1786178874695096400,412,439,439,0,0,167,0.4053398058252427,1.0655339805825244
30,old20,legacy20_a,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c\novels\30\graph.json,1ef0895f6511976e7b07a120f6722e905865624b3de24763c552cced4e8b18c1,171176,1786180697223864200,312,222,222,0,0,138,0.4423076923076923,0.7115384615384616
31,old20,legacy20_a,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c\novels\31\graph.json,eed05919fbd1ca43b40890d5380648a0a0c731e4987f57b552266196c98d6116,168153,1786182553790040800,290,258,258,0,1,107,0.3689655172413793,0.8896551724137931
33,old20,legacy20_a,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c\novels\33\graph.json,07e531f3974bd71d8e697318a2431bcfbbeb9b82e5f8e1cb5bd887fc4eaed436,172684,1786184375036210700,296,264,264,0,0,109,0.36824324324324326,0.8918918918918919
40,old20,legacy20_a,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c\novels\40\graph.json,d01ebbd770ccf7b0f0f271856c19a006fd54f42bc0af54911f417e5c83338930,275001,1786186589866728700,491,423,423,0,0,179,0.3645621181262729,0.8615071283095723
53,old20,legacy20_a,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c\novels\53\graph.json,e4ce0a4be9f3dd6942f88001b1163681d9c94877122ed821a915578a946f0f2b,194865,1786188646794870900,346,282,282,0,0,143,0.41329479768786126,0.815028901734104
56,old20,legacy20_a,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c\novels\56\graph.json,4902a3c316e740a0e84dadaa11e6a92290a6d967a443f34a9d79f13b67f40db7,138511,1786190630687281900,257,210,210,0,0,117,0.45525291828793774,0.8171206225680934
79,old20,legacy20_a,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c\novels\79\graph.json,de8bf0dc435b5447ff638affc9aa9b73e882eceace7fa11ad359334ae6709c7a,311903,1786193129721986500,539,516,516,0,0,205,0.3803339517625232,0.9573283858998145
15,old20,legacy20_b,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c_next10\novels\15\graph.json,0993a8c732dcb39bff895c98d9da97c038ad4f36e2bd84af5eb6d6784f5372af,380333,1786256318071558500,648,569,569,0,0,265,0.4089506172839506,0.8780864197530864
16,old20,legacy20_b,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c_next10\novels\16\graph.json,0d02ea8dfae906504e44eb3b450e1d077b11d74fe7aedb866d430b33c757e0ed,313182,1786259677473631000,549,485,485,0,0,193,0.35154826958105645,0.8834244080145719
25,old20,legacy20_b,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c_next10\novels\25\graph.json,1abeef2fef63fb3fa2a2a166ed7f400a4bd0e0d58e8c6f351d88e4538a04cee3,163360,1786262629416160900,267,280,280,0,0,120,0.449438202247191,1.048689138576779
