novel,cohort,questions,novel_characters,nodes,edges,isolate_rate,gold_position_recall,core2_gold_rate,G5_accuracy,tail_accuracy,compression_accuracy,rag_accuracy,Q0_accuracy,G5_minus_tail,G5_minus_best_baseline
15,old20,9,408345,648,569,0.4089506172839506,0.2631578947368421,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.0,0.0
16,old20,7,344196,549,485,0.35154826958105645,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,-0.14285714285714285,-0.42857142857142855
25,old20,8,501571,267,280,0.449438202247191,0.24242424242424243,0.625,1.0,1.0,0.75,0.875,0.625,0.0,0.0
26,old20,9,619912,427,324,0.5035128805620609,0.29508196721311475,0.7,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0
27,old20,13,547937,394,361,0.4035532994923858,0.14634146341463414,0.4,0.6153846153846154,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.07692307692307698,0.0
28,old20,8,577802,412,439,0.4053398058252427,0.2222222222222222,0.47058823529411764,0.5,0.375,0.375,0.25,0.375,0.125,0.125
29,old20,7,521777,405,336,0.3728395061728395,0.07017543859649122,0.0,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.14285714285714285,-0.1428571428571429
30,old20,9,397678,312,222,0.4423076923076923,0.20930232558139536,0.4,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.11111111111111116,-0.11111111111111105
31,old20,9,446612,290,258,0.3689655172413793,0.0,0.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.11111111111111116,0.11111111111111116
33,old20,6,407547,296,264,0.36824324324324326,0.2564102564102564,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,-0.16666666666666663
40,old20,8,367736,491,423,0.3645621181262729,0.078125,0.25,0.5,0.75,0.625,0.625,0.5,-0.25,-0.25
53,old20,7,451924,346,282,0.41329479768786126,0.3125,0.46153846153846156,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.0,-0.1428571428571429
56,old20,10,447052,257,210,0.45525291828793774,0.05454545454545454,1.0,0.4,0.3,0.5,0.3,0.3,0.10000000000000003,-0.09999999999999998
79,old20,11,479426,539,516,0.3803339517625232,0.06521739130434782,1.0,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.2727272727272727,0.45454545454545453,-0.09090909090909088,-0.18181818181818182
81,old20,6,685054,889,979,0.344206974128234,0.39473684210526316,0.7272727272727273,0.3333333333333333,0.16666666666666666,0.5,0.5,0.16666666666666666,0.16666666666666666,-0.16666666666666669
82,old20,9,431296,538,550,0.362453531598513,0.22,0.16666666666666666,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.4444444444444444,0.11111111111111116,-0.11111111111111105
83,old20,9,819124,920,716,0.43369565217391304,0.13043478260869565,1.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.11111111111111116,0.11111111111111116
84,old20,7,361781,427,447,0.36533957845433257,0.058823529411764705,0.5,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.0
87,old20,6,560253,1071,826,0.450046685340803,0.2564102564102564,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0
90,old20,6,404933,740,628,0.40540540540540543,0.02857142857142857,1.0,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666669,0.16666666666666669
93,new10,7,403839,718,910,0.055710306406685235,0.8392857142857143,0.45871559633027525,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
97,new10,5,394169,676,922,0.03994082840236687,0.6808510638297872,0.4576271186440678,0.4,0.0,0.4,0.6,0.6,0.4,-0.19999999999999996
99,new10,6,370526,570,759,0.056140350877192984,0.7857142857142857,0.5517241379310345,0.3333333333333333,0.5,0.6666666666666666,0.5,0.3333333333333333,-0.16666666666666669,-0.3333333333333333
100,new10,8,477574,826,1078,0.0423728813559322,0.7083333333333334,0.6071428571428571,0.5,0.625,0.5,0.75,0.625,-0.125,-0.25
103,new10,6,310554,396,647,0.05808080808080808,0.6875,0.6382978723404256,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.5,0.16666666666666674
104,new10,8,290513,465,625,0.060215053763440864,0.717391304347826,0.5,0.625,0.125,0.5,0.5,0.375,0.5,0.125
105,new10,7,403466,425,786,0.06588235294117648,0.6923076923076923,0.5921052631578947,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,-0.14285714285714285,-0.14285714285714285
106,new10,7,299851,389,664,0.05912596401028278,0.6857142857142857,0.5370370370370371,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.0,-0.1428571428571428
107,new10,10,318585,409,603,0.07334963325183375,0.7037037037037037,0.5384615384615384,0.5,0.4,0.6,0.2,0.3,0.09999999999999998,-0.09999999999999998
108,new10,6,338770,355,589,0.056338028169014086,0.8387096774193549,0.575,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,-0.16666666666666663
