cohort,subset,method,correct,total,accuracy,ci_low,ci_high
old20,all,Q0,61,164,0.3719512195121951,0.3017028864828616,0.44806096629162584
old20,all,tail,79,164,0.4817073170731707,0.40653251804101626,0.5577194609267676
old20,all,graph,82,164,0.5,0.424357047388029,0.5756429526119711
old20,all,reverse,81,164,0.49390243902439024,0.4184045401918173,0.569679452797444
old20,all,cyclic,84,164,0.5121951219512195,0.4362950420323061,0.5875369719891712
old20,all,consensus,88,164,0.5365853658536586,0.4603031878123809,0.6111928542520513
old20,q0_wrong,tail,37,103,0.3592233009708738,0.2731709258664398,0.45539886043094663
old20,q0_wrong,graph,40,103,0.3883495145631068,0.29986199561845933,0.4848657659277437
old20,q0_wrong,reverse,41,103,0.39805825242718446,0.3088339434875273,0.4946131431416146
old20,q0_wrong,cyclic,42,103,0.4077669902912621,0.3178425371515976,0.5043238745604832
old20,q0_wrong,consensus,43,103,0.4174757281553398,0.3268873640675524,0.5139983727274672
new10,all,G1,36,70,0.5142857142857142,0.39954383919009234,0.6275412161696143
new10,all,G2,31,70,0.44285714285714284,0.3324952890930533,0.55916448946812
new10,all,G3,34,70,0.4857142857142857,0.37245878383038566,0.6004561608099076
new10,all,G4,34,70,0.4857142857142857,0.37245878383038566,0.6004561608099076
new10,all,G5,36,70,0.5142857142857142,0.39954383919009234,0.6275412161696143
new10,all,B1,29,70,0.4142857142857143,0.30630178568736466,0.5311878821543955
new10,all,B2,36,70,0.5142857142857142,0.39954383919009234,0.6275412161696143
new10,all,B3,35,70,0.5,0.3859571764530239,0.6140428235469761
new10,all,Q0,33,70,0.4714285714285714,0.3590487639638429,0.5867811253167438
new10,q0_wrong,G1,12,37,0.32432432432432434,0.19633266528144183,0.48536332758027806
new10,q0_wrong,G2,11,37,0.2972972972972973,0.17489478649832016,0.45783135911135664
new10,q0_wrong,G3,13,37,0.35135135135135137,0.2182560713392713,0.5124097687744917
new10,q0_wrong,G4,11,37,0.2972972972972973,0.17489478649832016,0.45783135911135664
new10,q0_wrong,G5,13,37,0.35135135135135137,0.2182560713392713,0.5124097687744917
new10,q0_wrong,B1,10,37,0.2702702702702703,0.15397461511049093,0.4297816832471427
new10,q0_wrong,B2,14,37,0.3783783783783784,0.24063999175798265,0.5389956956078235
new10,q0_wrong,B3,12,37,0.32432432432432434,0.19633266528144183,0.48536332758027806
new10,q0_correct,G1,24,33,0.7272727272727273,0.5578244099712737,0.8493255911457935
new10,q0_correct,G2,20,33,0.6060606060606061,0.43683440819940234,0.7531689256552291
new10,q0_correct,G3,21,33,0.6363636363636364,0.466161783022664,0.7781282176475764
new10,q0_correct,G4,23,33,0.696969696969697,0.5266186485419944,0.8262446857594641
new10,q0_correct,G5,23,33,0.696969696969697,0.5266186485419944,0.8262446857594641
new10,q0_correct,B1,19,33,0.5757575757575758,0.4080726333731245,0.7276440336658979
new10,q0_correct,B2,22,33,0.6666666666666666,0.4960789442780561,0.8024977232077931
new10,q0_correct,B3,23,33,0.696969696969697,0.5266186485419944,0.8262446857594641
descriptive30,all,Q0,94,234,0.4017094017094017,0.3409726376001539,0.465621216019459
descriptive30,all,tail,108,234,0.46153846153846156,0.3988009347061522,0.5255183993189138
descriptive30,all,single_graph,118,234,0.5042735042735043,0.44066279924739127,0.5677461636387124
descriptive30,all,graph_consensus,124,234,0.5299145299145299,0.46599939451976324,0.5928633456829634
descriptive30,q0_wrong,tail,47,140,0.3357142857142857,0.26280357713393476,0.4173998887017295
descriptive30,q0_wrong,single_graph,52,140,0.37142857142857144,0.2958250811297044,0.45389937039385897
descriptive30,q0_wrong,graph_consensus,56,140,0.4,0.3225668105142923,0.4827744295595903
